"Sygnatura czasowa","Potrafię swobodnie pracować w Jupyterze / Colabie","Rozumiem podstawowe typy danych w Pythonie (listy, słowniki, tuple, sety)","Potrafię pociąć string (przez split) do listy.","Potrafię programować obiektowo w pythonie","Potrafię pisać funkcje i używać parametrów / wartości zwracanych","Potrafię samodzielnie debugować prosty błąd","Potrafię korzystać z dokumentacji biblioteki, aby znaleźć potrzebną funkcję","Rozumiem różnicę między pętlą a podejściem bardziej 'wektorowym' / operacjami na kolekcjach","Potrafię utworzyć tablicę NumPy i wykonywać na niej podstawowe operacje","Rozumiem kształt danych (shape), indeksowanie i slicing w NumPy","Potrafię filtrować i wybierać dane w pandas DataFrame","Potrafię użyć groupby / agregacji w pandas","Potrafię łączyć tabele / ramki danych (merge / join) w pandas","Potrafię wykrywać i obsługiwać braki danych","Potrafię przygotować prosty wykres (histogram, scatter, line, bar)","Rozumiem składnię SELECT / WHERE / ORDER BY","Rozumiem GROUP BY i podstawowe agregacje SQL","Rozumiem różnicę między JOINami (INNER / LEFT) na poziomie praktycznym","Rozumiem pojęcie klucza głównego, klucza obcego i granularności danych","Rozumiem średnią, medianę, odchylenie standardowe i wariancję","Rozumiem pojęcia percentyl / kwartyl / rozkład","Rozumiem, czym jest korelacja i dlaczego nie oznacza przyczynowości","Rozumiem, czym jest kowariancja","Rozumiem intuicję prawdopodobieństwa warunkowego","Rozumiem, czym jest próbkowanie i skąd bierze się błąd estymacji","Rozumiem intuicję funkcji liniowej i nachylenia","Rozumiem różnicę między funkcją liniową a kwadratową","Rozumiem różnicę między funkcją liniową i kwadratową a wielomianami wyższych stopni","Potrafię policzyć proste pochodne, np. x, x^2, (x-1)^3","Rozumiem intuicję pochodnej jako miary zmiany","Rozumiem wektory i macierze
","Rozumiem, czym jest funkcja straty i dlaczego model ją minimalizuje.","Rozumiem różnicę między uczeniem nadzorowanym i nienadzorowanym","Rozumiem pojęcia feature (cecha) / target / etykieta","Rozumiem, po co dzielimy dane na train / validation / test","Rozumiem, czym jest overfitting i underfitting","Rozumiem, czym jest data leakage","Rozumiem różnicę między zadaniem regresji a klasyfikacji","Rozumiem, że dobór metryki zależy od problemu","Mam intuicję działania modeli drzewiastych (np. decision tree / random forest)","Potrafię korzystać z Breadth First Search (BFS) i/lub Depth First Search (DFS)","Potrafię korzystać z merge- i quicksort","Potrafię pracować z nie do końca doprecyzowanym problemem.","Potrafię zaplanować pracę nad zadaniem rozłożonym na kilka dni / tygodni","Potrafię czytać anglojęzyczną dokumentację techniczną","Czuję się komfortowo, prezentując wynik swojej pracy","Potrafię współpracować z innymi nad wspólnym zadaniem","Zależy mi na realnym nauczeniu się materiału","Zależy mi przede wszystkim na sprawnym zaliczeniu kursu","Preferuję zaliczenie w formie pisemnej","Preferuję zaliczenie w formie 2–3 projektów","Chciał(a)bym więcej teorii i wyjaśnień na wykładzie","Chciał(a)bym więcej pracy praktycznej / kodowania / analizy danych","Jak Pani/Panu odpowiada forma wczorajszych  zajęć - początkowe wprowadzenie, potem praca samodzielna (5 - bardzo odpowiada, 1 - nie odpowiada, 0 - nie było mnie )? ","Jak dużo zrozumiał(a) Pan(i) z wczorajszych zajęć - subiektwynie  (0 - nie było mnie, 1 - nic, 5 - wszystko) ?","Jak Pani/Panu odpowiada forma dzisiejszych zajęć - forma pracy hands-on, czyli mocna granulacja zadań z samodzielnym powtarzaniem (5 - bardzo odpowiada, 1 - nie odpowiada, 0 - nie było mnie)?","Jak dużo zrozumiał(a) Pan(i) z dzisiejszych zajęć, znowu subiektywnie ;) (0 - nie było mnie, 1 - nic, 5 - wszystko) ?","Preferuję zajęcia z samym podawaniem wiedzy np. poprzez slajdy, od takich w których się aktywnie uczestniczy","Potrzebuję ścieżki wyrównawczej / dodatkowych zadań podstawowych (np. drzewa, traversal, sortowanie, wyszukiwanie) ","Był(a)bym zainteresowany(a) ścieżką advanced / samodzielnie wymyślonym projektem","Chciał(a)bym regularnych krótkich konsultacji / checkpointów do projektów","Stresuje mnie matematyka / statystyka w kontekście tego kursu.","Wolę pracować indywidualnie","Wolę pracować w parze lub małej grupie"
"2026/03/29 2:35:33 PM EET","2","5","4","4","4","4","3","3","2","2","2","2","2","2","1","5","5","4","4","5","3","5","3","5","3","3","4","3","4","3","2","2","4","2","2","2","2","2","4","2","4","4","2","4","5","3","5","4","3","1","5","2","5","4","4","2","4","4","1","2","2","2","1","5"
"2026/03/29 2:36:33 PM EET","1","3","4","4","4","4","4","3","2","1","1","1","1","1","1","5","5","4","4","4","3","3","1","1","1","1","3","1","4","3","4","1","1","1","1","1","1","1","2","1","2","3","4","5","5","4","5","5","5","1","5","3","5","5","3","2","3","2","4","4","3","2","5","1"
"2026/03/29 2:37:20 PM EET","2","5","5","5","5","5","5","4","3","2","2","1","1","1","2","5","5","5","3","3","3","2","2","3","2","2","5","5","5","4","3","2","1","1","2","1","1","1","2","1","3","3","2","3","5","4","3","4","4","3","4","3","3","3","2","2","2","4","2","1","3","4","5","1"
"2026/03/29 2:37:20 PM EET","2","3","3","2","3","2","3","3","1","1","1","1","1","2","2","4","4","4","4","4","4","3","2","1","2","2","3","3","3","2","4","2","2","2","2","3","2","3","3","3","3","4","4","4","5","4","4","4","5","2","4","3","4","4","4","4","4","1","3","2","2","3","4","2"
"2026/03/29 2:37:23 PM EET","4","4","4","4","4","4","4","4","4","3","3","3","3","3","4","5","5","5","5","4","4","4","2","3","2","4","4","4","3","3","3","3","4","2","4","4","3","3","3","2","4","4","5","5","5","5","5","5","3","2","5","3","3","4","5","4","5","2","2","5","3","1","4","2"
"2026/03/29 2:37:34 PM EET","2","2","3","3","4","3","3","4","2","1","2","1","1","1","3","4","4","5","4","5","3","4","3","2","3","1","5","4","4","3","4","2","4","3","4","5","3","5","4","4","2","5","2","3","5","4","4","4","3","1","4","2","4","4","4","4","3","2","1","3","2","3","4","2"
"2026/03/29 2:39:09 PM EET","4","4","4","3","4","2","2","3","3","2","2","2","2","2","3","5","5","4","4","4","4","4","3","4","3","5","5","5","5","5","5","4","4","3","4","4","3","4","2","2","3","3","2","4","4","4","4","3","5","1","5","3","3","5","4","5","4","1","2","2","1","1","5","1"
"2026/03/29 2:39:29 PM EET","5","5","5","5","5","5","5","5","4","3","3","4","4","4","4","5","5","5","5","3","3","3","2","2","2","3","4","4","4","4","4","1","1","2","2","3","3","3","3","2","5","5","5","5","4","4","5","5","5","2","5","4","5","5","4","4","4","5","1","3","3","2","2","4"
"2026/03/29 2:39:53 PM EET","5","5","5","4","5","5","5","5","5","5","5","3","2","3","5","5","4","4","4","5","3","5","4","5","5","5","5","5","5","5","5","5","3","3","5","5","3","5","5","5","3","3","5","5","5","5","3","5","2","1","5","5","3","5","5","5","5","1","2","5","4","2","5","1"
"2026/03/29 2:40:01 PM EET","4","3","2","2","2","2","4","3","2","2","1","1","1","1","1","5","5","5","4","5","4","5","3","4","4","5","5","5","5","5","5","3","4","3","4","4","2","2","3","2","4","4","3","3","5","4","4","3","5","2","4","4","4","3","5","4","5","3","2","1","3","3","3","3"
"2026/03/29 2:40:22 PM EET","5","5","4","4","4","5","5","4","5","5","5","4","5","4","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","4","4","5","5","5","5","3","5","5","5","5","3","4","5","5","4","5","5","4","4","5","4","4","4","4","4","3","2","1","4","3","1","3","3"
"2026/03/29 2:40:36 PM EET","3","3","2","2","3","3","3","1","2","1","1","1","1","1","2","3","3","3","3","3","2","2","2","3","2","3","3","3","3","2","3","1","1","1","1","1","1","1","1","1","2","3","2","4","5","3","3","4","4","1","5","5","4","5","4","5","3","5","4","2","1","3","5","1"
"2026/03/29 2:42:19 PM EET","3","4","5","4","4","4","4","4","4","4","4","2","2","2","2","5","4","3","4","4","4","4","2","2","2","3","4","4","4","5","5","4","5","5","5","5","4","5","4","3","1","2","3","4","4","2","4","5","5","1","5","5","4","5","4","4","5","4","3","2","2","2","4","4"
