mouse_id,group,gene_expression
Control_1,Control,1.5
Control_2,Control,1.8
Control_3,Control,2.2
Control_4,Control,2.4
Control_5,Control,3.1
Mutation_A_1,Mutation_A,2.9
Mutation_A_2,Mutation_A,3.3
Mutation_A_3,Mutation_A,3.6
Mutation_A_4,Mutation_A,3.9
Mutation_A_5,Mutation_A,4.3
Mutation_B_1,Mutation_B,2.3
Mutation_B_2,Mutation_B,2.4
Mutation_B_3,Mutation_B,2.7
Mutation_B_4,Mutation_B,2.8
Mutation_B_5,Mutation_B,3.0
Mutation_C_1,Mutation_C,4.8
Mutation_C_2,Mutation_C,5.0
Mutation_C_3,Mutation_C,5.1
Mutation_C_4,Mutation_C,5.4
Mutation_C_5,Mutation_C,5.7
Mutation_D_1,Mutation_D,1.2
Mutation_D_2,Mutation_D,1.3
Mutation_D_3,Mutation_D,1.6
Mutation_D_4,Mutation_D,1.7
Mutation_D_5,Mutation_D,1.9
