klient_id,miesiace_umowy,liczba_reklamacji,srednie_logowania_tyg,plan,umowa,rabat,odejdzie
1,20,1,0.1,pro,miesieczna,nie,nie
2,33,2,2.2,standard,miesieczna,tak,tak
3,18,1,4.7,standard,roczna,nie,nie
4,3,1,,basic,roczna,nie,tak
5,21,2,3.2,basic,miesieczna,nie,nie
6,25,0,1.3,standard,miesieczna,nie,nie
7,3,0,6.1,standard,miesieczna,nie,nie
8,18,2,3.3,basic,miesieczna,nie,nie
9,13,0,3.3,,roczna,nie,nie
10,25,2,4.7,standard,roczna,nie,nie
11,26,0,0.8,basic,miesieczna,nie,tak
12,2,2,0.2,,roczna,nie,tak
13,7,2,2.0,basic,miesieczna,tak,tak
14,2,1,7.6,pro,miesieczna,nie,tak
15,28,2,5.7,pro,miesieczna,tak,nie
16,7,0,3.0,basic,miesieczna,tak,nie
17,33,1,4.9,standard,roczna,nie,nie
18,36,2,2.0,basic,roczna,nie,tak
19,22,0,5.5,standard,miesieczna,nie,nie
20,11,0,4.3,basic,roczna,tak,nie
21,11,0,3.9,basic,miesieczna,tak,nie
22,22,2,4.8,pro,miesieczna,nie,nie
23,30,0,7.7,basic,miesieczna,tak,nie
24,36,1,2.1,standard,roczna,nie,nie
25,3,0,3.8,basic,roczna,nie,nie
26,26,0,0.8,,miesieczna,nie,nie
27,5,1,6.4,basic,roczna,nie,nie
28,8,3,1.9,standard,miesieczna,nie,tak
29,10,2,0.2,standard,roczna,nie,nie
30,16,0,2.3,pro,roczna,nie,nie
31,24,1,5.9,basic,miesieczna,nie,nie
32,4,2,,basic,miesieczna,nie,tak
33,20,0,4.1,standard,roczna,nie,nie
34,11,2,3.3,basic,miesieczna,tak,tak
35,1,2,2.2,basic,miesieczna,nie,tak
36,11,3,3.0,standard,miesieczna,tak,tak
37,18,0,0.8,standard,miesieczna,tak,nie
38,1,3,1.4,standard,roczna,nie,tak
39,26,1,2.7,basic,miesieczna,nie,nie
40,31,0,1.1,standard,roczna,nie,nie
41,35,0,1.4,basic,miesieczna,tak,nie
42,33,2,11.5,basic,roczna,tak,nie
43,31,2,2.7,standard,roczna,nie,nie
44,19,2,7.4,,miesieczna,nie,nie
45,12,1,1.6,basic,miesieczna,nie,tak
46,23,1,8.9,basic,miesieczna,nie,nie
47,2,1,2.1,standard,miesieczna,nie,tak
48,22,3,3.3,basic,miesieczna,tak,tak
49,22,1,4.4,pro,roczna,nie,nie
50,24,1,7.2,standard,miesieczna,nie,nie
51,8,3,1.9,standard,miesieczna,nie,tak
52,36,1,,basic,roczna,nie,nie
53,23,2,4.7,basic,miesieczna,nie,tak
54,21,1,6.8,basic,miesieczna,tak,nie
55,14,0,7.6,standard,roczna,nie,nie
56,6,0,,basic,roczna,nie,nie
57,29,3,1.3,standard,miesieczna,nie,tak
58,25,3,1.0,basic,miesieczna,nie,tak
59,21,4,5.6,basic,miesieczna,tak,tak
60,25,1,6.5,standard,miesieczna,nie,nie
61,33,0,5.9,basic,roczna,tak,nie
62,31,3,0.5,basic,miesieczna,tak,tak
63,24,2,1.7,standard,roczna,nie,tak
64,25,2,8.6,basic,miesieczna,nie,tak
65,6,0,0.7,pro,miesieczna,tak,nie
66,12,3,4.4,basic,miesieczna,nie,tak
67,14,2,8.1,standard,miesieczna,tak,nie
68,2,1,5.9,basic,miesieczna,tak,nie
69,15,2,4.5,basic,roczna,tak,nie
70,17,0,2.2,,roczna,nie,nie
71,30,1,0.6,basic,miesieczna,nie,tak
72,23,1,2.3,standard,miesieczna,tak,nie
73,36,1,6.7,basic,miesieczna,nie,nie
74,27,0,7.5,basic,roczna,nie,nie
75,27,0,5.5,pro,miesieczna,nie,nie
76,25,0,3.5,basic,roczna,nie,nie
77,7,3,,standard,miesieczna,nie,tak
78,22,4,12.0,standard,miesieczna,tak,tak
79,18,1,,pro,roczna,tak,nie
80,22,3,6.8,pro,roczna,nie,nie
81,17,0,10.5,basic,roczna,tak,nie
82,9,1,0.5,standard,roczna,nie,nie
83,13,1,7.5,pro,roczna,nie,nie
84,15,1,1.9,pro,roczna,nie,nie
85,24,1,3.6,basic,roczna,nie,nie
86,16,0,1.5,basic,miesieczna,nie,nie
87,13,3,8.2,basic,roczna,nie,tak
88,2,1,3.0,standard,miesieczna,nie,nie
89,11,1,0.6,pro,miesieczna,nie,nie
90,35,1,1.6,standard,miesieczna,nie,tak
91,9,3,7.4,pro,miesieczna,nie,tak
92,4,2,5.6,standard,roczna,nie,tak
93,27,2,,standard,miesieczna,nie,tak
94,35,1,3.7,basic,roczna,tak,nie
95,8,0,7.1,standard,miesieczna,nie,nie
96,29,0,0.6,standard,miesieczna,nie,nie
97,27,0,3.5,standard,roczna,tak,nie
98,9,0,2.7,standard,miesieczna,nie,nie
99,31,1,1.2,basic,roczna,nie,tak
100,14,0,3.9,standard,miesieczna,nie,nie
101,18,0,3.8,standard,miesieczna,tak,nie
102,9,2,4.8,standard,roczna,nie,nie
103,20,0,4.3,pro,miesieczna,nie,nie
104,23,0,1.5,standard,roczna,nie,nie
105,3,1,2.8,basic,miesieczna,nie,tak
106,2,2,3.5,basic,miesieczna,nie,tak
107,24,2,8.6,standard,roczna,nie,nie
108,16,1,5.0,standard,roczna,nie,nie
109,22,2,4.9,standard,roczna,nie,tak
110,28,2,4.5,basic,roczna,tak,nie
111,4,0,5.5,basic,miesieczna,tak,nie
112,17,0,2.4,standard,miesieczna,nie,nie
113,19,0,6.2,standard,miesieczna,nie,nie
