plik,cells,markdown,code,latex_paren,latex_bracket,control_chars,plotly
0_0_mapa_kursu_i_kolejnosc_metod.ipynb,4,4,0,0,0,0,False
0_1_odleglosci_macierze_sasiedztwa_knn_fundament_recznie.ipynb,23,14,9,0,0,0,True
0_1_odleglosci_macierze_sasiedztwa_knn_fundament_recznie_executed.ipynb,23,14,9,0,0,0,True
1_1_umap_interaktywny.ipynb,27,13,14,0,0,0,True
1_2_tsne_interaktywny_macierz_dopasowania.ipynb,17,10,7,0,0,0,True
1_3_pca_kontrast_liniowy.ipynb,11,6,5,0,0,0,True
2_1_pca_recznie_matematycznie.ipynb,14,7,7,0,0,0,False
2_2_tsne_recznie_pelny_algorytm.ipynb,15,7,8,0,0,0,False
2_3_umap_recznie_pelny_algorytm.ipynb,21,10,11,0,0,0,False
2_4_umap_tsne_similarity_scores_recznie.ipynb,18,9,9,0,0,0,False
3_1_knn_recznie_graf_i_klasyfikacja.ipynb,13,7,6,0,0,0,False
3_2_dbscan_recznie_eps_core_border_noise.ipynb,17,8,9,0,0,0,True
3_3_kmeans_recznie_centroidy_i_sse.ipynb,13,7,6,0,0,0,True
3_4_porownanie_knn_dbscan_kmeans.ipynb,13,7,6,0,0,0,True
4_1_lda_recznie_supervised_pca.ipynb,15,8,7,0,0,0,True
4_2_qda_recznie_gaussy_i_granice_kwadratowe.ipynb,7,4,3,0,0,0,False
4_3_svc_svm_recznie_margines_soft_margin.ipynb,11,6,5,0,0,0,True
4_4_svm_kernel_xor_intuicja.ipynb,10,5,5,0,0,0,True
