dataset,variant,seed,final_KL_to_own_P,mean_sigma,trustworthiness@10,continuity@10,spearman_euclidean,spearman_geodesic,spearman_latent,silhouette_labels
S-curve,classic t=1,0,0.2530803733872821,0.5674312258457247,0.9736449704142012,0.9598934911242604,0.78288796499467,0.7726141964441086,0.6390476603297408,
S-curve,classic t=1,1,0.29756919871925774,0.5674312258457247,0.964224852071006,0.9506508875739645,0.7262637685167614,0.7038904094862101,0.6077433379222653,
S-curve,classic t=1,2,0.3194791327097334,0.5674312258457247,0.974603550295858,0.9206627218934911,0.6384205039162689,0.610055676658643,0.6148975006651979,
S-curve,path t=2,0,0.18639319231152954,0.5674312258457247,0.9783431952662722,0.9670414201183432,0.750547713718853,0.7519074145346264,0.6924280233249231,
S-curve,path t=2,1,0.18566738379947997,0.5674312258457247,0.9803076923076923,0.9660118343195266,0.76235118637565,0.7601336981747835,0.6968096693593033,
S-curve,path t=2,2,0.18632796551135913,0.5674312258457247,0.9789467455621301,0.9674792899408284,0.75157654770172,0.7527308563815296,0.6926972090776239,
S-curve,path t=3,0,0.1438678299958492,0.5674312258457247,0.9769467455621301,0.9462011834319527,0.7515533347323989,0.7426726561954996,0.6428599413595742,
S-curve,path t=3,1,0.13858501623977298,0.5674312258457247,0.9851242603550295,0.9664852071005917,0.7396472216111011,0.750481885232369,0.7852563714320556,
S-curve,path t=3,2,0.12608221508958578,0.5674312258457247,0.9704142011834319,0.9707573964497042,0.7623768385766889,0.7674843146456697,0.6705066857701231,
S-curve,path t=5,0,0.11114215568466355,0.5674312258457247,0.9595147928994083,0.9305325443786983,0.7302017665441166,0.7212104785348998,0.6403827202946263,
S-curve,path t=5,1,0.09533891911941525,0.5674312258457247,0.9753491124260355,0.9502958579881657,0.7565315855407978,0.7443211404186926,0.6431416289910722,
S-curve,path t=5,2,0.08215330923387436,0.5674312258457247,0.9720236686390532,0.9683905325443787,0.7793730947173751,0.7824489087270797,0.6690612340967318,
S-curve,path t=8,0,0.13785941627761736,0.5674312258457247,0.8852189349112426,0.8767337278106508,0.6822490115161004,0.6865336496592621,0.6064574727910838,
S-curve,path t=8,1,0.08066626449238226,0.5674312258457247,0.925905325443787,0.9160236686390533,0.7476494280700251,0.7603655708255667,0.6510385724205913,
S-curve,path t=8,2,0.07595713549119382,0.5674312258457247,0.9418461538461539,0.9408639053254438,0.7634261590784652,0.7792063983499655,0.7009209694872098,
S-curve,path t=16,0,0.5872749867098982,0.5674312258457247,0.7324852071005917,0.7362603550295859,0.4246164378431915,0.4386842571989629,0.47443237143552847,
S-curve,path t=16,1,0.5390747394474266,0.5674312258457247,0.7282958579881658,0.7213491124260355,0.4345724171632328,0.42846350429213537,0.44787081127743517,
S-curve,path t=16,2,0.49176157049749736,0.5674312258457247,0.7358106508875739,0.7648047337278107,0.4693817203434364,0.4782433146179015,0.45269351599729896,
Swiss roll,classic t=1,0,0.3742085965877443,0.5846529759560412,0.9723550295857988,0.960094674556213,0.7084826614228328,0.7303977008445323,0.36477277487145904,
Swiss roll,classic t=1,1,0.41685977170661104,0.5846529759560412,0.9810887573964497,0.9351834319526627,0.6544379318083828,0.6545424354841964,0.4197811183556122,
Swiss roll,classic t=1,2,0.34746328244908686,0.5846529759560412,0.9867337278106509,0.9576568047337278,0.6989548834231646,0.737656747088482,0.3868810885309487,
Swiss roll,path t=2,0,0.2900688117210562,0.5846529759560412,0.982224852071006,0.9579763313609467,0.694421624603443,0.724350422255693,0.39749939989732663,
Swiss roll,path t=2,1,0.2864907888505523,0.5846529759560412,0.983621301775148,0.9585680473372781,0.6711591017963539,0.7000906434940048,0.35490592189652304,
Swiss roll,path t=2,2,0.2898773377791859,0.5846529759560412,0.98298224852071,0.9588165680473373,0.697104580824407,0.7311587755711253,0.3838122314863401,
