id,name,place_type,gmina,powiat,wojewodztwo,lat,lon,country,source
1,Abramowice Kościelne,village,Głusk,lubelski,lubelskie,51.190163058783824,22.628096340156684,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
2,Abramowice Prywatne,village,Głusk,lubelski,lubelskie,51.204912341656666,22.62260108130119,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
3,Abramy,village,Kałuszyn,miński,mazowieckie,52.25387415004453,21.80067010468551,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
4,Abramów,village,Goraj,biłgorajski,lubelskie,50.69951868592388,22.701454006821145,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
5,Abramów,village,Abramów,lubartowski,lubelskie,51.45641975054358,22.315373229616903,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
6,Achrymowce,village,Kuźnica,sokólski,podlaskie,53.51357120420202,23.547004764915467,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
7,Adamczowice,village,Klimontów,sandomierski,świętokrzyskie,50.65803974833994,21.482654215757137,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
8,Adamczycha,village,Baranowo,ostrołęcki,mazowieckie,53.10696848161064,21.26304739342583,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
9,Adamek,village,Stąporków,konecki,świętokrzyskie,51.0706983052746,20.5064390449587,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
10,Adamierz,village,Olesno,dąbrowski,małopolskie,50.2050519832284,20.9000851609416,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
11,Adamierz,village,Zagórów,słupecki,wielkopolskie,52.15142886903036,17.79272745842175,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
12,Adamin,village,Olszówka,kolski,wielkopolskie,52.16352043389188,18.836182663681917,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
13,Adaminowo,village,Włocławek,włocławski,kujawsko-pomorskie,52.5950037346142,19.2719227834245,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
14,Adamka,village,Zadzim,poddębicki,łódzkie,51.76538688948259,18.835257710550625,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
15,Adamki,village,Błaszki,sieradzki,łódzkie,51.664761718906,18.4949780977259,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
16,Adamki,village,Zbójno,golubsko-dobrzyński,kujawsko-pomorskie,52.9964670271602,19.1284462506706,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
17,Adamkowo,village,Kęsowo,tucholski,kujawsko-pomorskie,53.5139968313289,17.699693726141643,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
18,Adamowa Góra,village,Młodzieszyn,sochaczewski,mazowieckie,52.26434556508705,20.20547622479412,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
19,Adamowice,village,Lyski,rybnicki,śląskie,50.130280904028,18.331659365075,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
20,Adamowice,village,Mszczonów,żyrardowski,mazowieckie,51.940887808726345,20.48093514908821,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
21,Adamowice,village,Gołcza,miechowski,małopolskie,50.3786430003914,19.8537066097773,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
22,Adamowice,village,Kutno,kutnowski,łódzkie,52.2344471681998,19.2980139097659,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
23,Adamowizna,village,Szypliszki,suwalski,podlaskie,54.17738302361125,23.12800786197217,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
24,Adamowizna,village,Grodzisk Mazowiecki,grodziski,mazowieckie,52.07035821766711,20.63356206641044,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
25,Adamowo,village,Joniec,płoński,mazowieckie,52.5688232965098,20.6074034873862,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26,Adamowo,village,Elbląg,elbląski,warmińsko-mazurskie,54.1545031136926,19.261494849313,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
27,Adamowo,village,Czerwonka,makowski,mazowieckie,52.9136302450799,21.2750340494607,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
28,Adamowo,village,Długosiodło,wyszkowski,mazowieckie,52.7347906762439,21.4932408866549,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
29,Adamowo,village,Chrostkowo,lipnowski,kujawsko-pomorskie,52.9494424275312,19.2766684269053,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
30,Adamowo,village,Lidzbark,działdowski,warmińsko-mazurskie,53.1804189812102,19.9203234445764,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
31,Adamowo,village,Susz,iławski,warmińsko-mazurskie,53.710240137784346,19.34740600806389,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
32,Adamowo,village,Stary Dzierzgoń,sztumski,pomorskie,53.90598608,19.37901173,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
33,Adamowo,village,Mochowo,sierpecki,mazowieckie,52.842782758196094,19.486673332198684,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
34,Adamowo,village,Kleczew,koniński,wielkopolskie,52.44877485148175,18.04908707976786,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
35,Adamowo,village,Strzegowo,mławski,mazowieckie,52.9143727799045,20.1775584983976,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
36,Adamowo,village,Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie,53.4277683464034,19.1645684411462,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
37,Adamowo,village,Bieżuń,żuromiński,mazowieckie,52.91167380119152,19.89362434021453,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
38,Adamowo,village,Nowe Miasto,płoński,mazowieckie,52.662948741333,20.699953058206,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
39,Adamowo,village,Wolsztyn,wolsztyński,wielkopolskie,52.093338567440185,16.127325338085466,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
40,Adamowo,village,Biskupiec,olsztyński,warmińsko-mazurskie,53.87012089247748,20.990513463690807,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
41,Adamowo-Osiedle,village,Elbląg,elbląski,warmińsko-mazurskie,54.16166982780421,19.329758043630655,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
42,Adamowo-Zastawa,village,Mielnik,siemiatycki,podlaskie,52.36289881569135,23.12233815993575,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
43,Adampol,village,Korytnica,węgrowski,mazowieckie,52.3954112022052,21.7258916278606,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
44,Adampol,village,Jadów,wołomiński,mazowieckie,52.5164905614342,21.590972691198,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
45,Adamusy,village,Turośl,kolneński,podlaskie,53.40804583840791,21.77930889495415,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
46,Adamów,village,Adamów,zamojski,lubelskie,50.59395396357285,23.17503730390044,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
47,Adamów,village,Brody,starachowicki,świętokrzyskie,51.0199680786966,21.1490442424326,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
48,Adamów,village,Kutno,kutnowski,łódzkie,52.2716764349168,19.289141943704,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
49,Adamów,village,Nowy Kawęczyn,skierniewicki,łódzkie,51.9163191421514,20.2348688614907,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
50,Adamów,village,Golina,koniński,wielkopolskie,52.26073217364431,18.09432500065453,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
51,Adamów,village,Smyków,konecki,świętokrzyskie,51.0597409407994,20.428747495322,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
52,Adamów,village,Żarnów,opoczyński,łódzkie,51.1961026803041,20.1340777223566,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
53,Adamów,village,Wierzbno,węgrowski,mazowieckie,52.3229612603429,21.8138426957778,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
54,Adamów,village,Głowaczów,kozienicki,mazowieckie,51.6189889381308,21.3717508845789,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
55,Adamów,village,Budziszewice,tomaszowski,łódzkie,51.666481591845,19.9649494927927,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
56,Adamów,village,Dobre,miński,mazowieckie,52.280403237906,21.7041847892091,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
57,Adamów,village,Szczawin Kościelny,gostyniński,mazowieckie,52.34083333,19.64444444,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
58,Adamów,village,Opoczno,opoczyński,łódzkie,51.3592578313209,20.3930131819302,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
59,Adamów,village,Łęki Szlacheckie,piotrkowski,łódzkie,51.1581024121424,19.7485681382759,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
60,Adamów,village,Lipnik,opatowski,świętokrzyskie,50.77739421651175,21.523563948831647,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
61,Adamów,village,Poddębice,poddębicki,łódzkie,51.870951057367,19.005723761951,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
62,Adamów,village,Wolbórz,piotrkowski,łódzkie,51.4464477291104,19.9124035668652,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
63,Adamów,village,Cyców,łęczyński,lubelskie,51.24492360667346,23.10450171401681,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
64,Adamów,village,Opatów,opatowski,świętokrzyskie,50.80843525475129,21.45737455308079,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
65,Adamów,village,Krzymów,koniński,wielkopolskie,52.1539990734044,18.3631165792697,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
66,Adamów,village,Grodzisk Mazowiecki,grodziski,mazowieckie,52.1467784535358,20.6349272442752,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
67,Adamów,village,Adamów,łukowski,lubelskie,51.7431521086788,22.26384716796232,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
68,Adamów,village,Promna,białobrzeski,mazowieckie,51.6695100810476,20.910941450537,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
69,Adamów,village,Brzeziny,brzeziński,łódzkie,51.7719702244704,19.6905981059491,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
70,Adamów,village,Paradyż,opoczyński,łódzkie,51.281694177322,20.1117459636183,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
71,Adamów,village,Kłomnice,częstochowski,śląskie,50.8685865835911,19.3351286913215,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
72,Adamów,village,Ładzice,radomszczański,łódzkie,51.1008262742086,19.2931877411931,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
73,Adamów,village,Sienno,lipski,mazowieckie,51.02888889,21.44305556,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
74,Adamów Drwalewski,village,Chynów,grójecki,mazowieckie,51.9229094697149,21.0362611330403,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
75,Adamów Rososki,village,Chynów,grójecki,mazowieckie,51.9176174537034,21.1391134501701,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
76,Adamów-Parcel,village,Radziejowice,żyrardowski,mazowieckie,52.014779241557015,20.576918916433417,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
77,Adamów-Wieś,village,Radziejowice,żyrardowski,mazowieckie,52.0242601775749,20.5961551133004,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
78,Adamówek,village,Czosnów,nowodworski,mazowieckie,52.3663506439573,20.7259197192763,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
79,Adamówek,village,Mszczonów,żyrardowski,mazowieckie,51.94524964760302,20.53949159583875,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
80,Adamówka,village,Żółkiewka,krasnostawski,lubelskie,50.93538086063263,22.804376758241933,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
81,Adamówka,village,Adamówka,przeworski,podkarpackie,50.2583738269105,22.6959278203825,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
82,Adelin,village,Zabrodzie,wyszkowski,mazowieckie,52.4961873553571,21.4497441472278,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
83,Adelina,village,Werbkowice,hrubieszowski,lubelskie,50.65933566148081,23.772261549041406,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
84,Adelina,village,Chodel,opolski,lubelskie,51.13781117864419,22.14763226544167,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
85,Adelinów,village,Sulejów,piotrkowski,łódzkie,51.2826045861773,19.8789966189864,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
