age,gender,split,final,split_seconds,final_seconds,split_hours,final_hours,second_half_hours,slowdown_minutes,female,under_4h,under_3h30,negative_split
33,M,01:05:38,02:08:51,3938,7731,1.093888888888889,2.1475,1.053611111111111,-2.4166666666666665,0,1,1,1
32,M,01:06:26,02:09:28,3986,7768,1.1072222222222223,2.1577777777777776,1.0505555555555555,-3.4,0,1,1,1
31,M,01:06:49,02:10:42,4009,7842,1.113611111111111,2.1783333333333332,1.0647222222222221,-2.933333333333333,0,1,1,1
38,M,01:06:16,02:13:45,3976,8025,1.1044444444444443,2.2291666666666665,1.1247222222222222,1.2166666666666666,0,1,1,0
31,M,01:06:32,02:13:59,3992,8039,1.1088888888888888,2.2330555555555556,1.1241666666666668,0.9166666666666666,0,1,1,0
31,M,01:06:13,02:14:11,3973,8051,1.103611111111111,2.236388888888889,1.1327777777777779,1.75,0,1,1,0
27,M,01:06:40,02:14:28,4000,8068,1.1111111111111112,2.241111111111111,1.13,1.1333333333333333,0,1,1,0
31,M,01:06:31,02:15:16,3991,8116,1.1086111111111112,2.2544444444444443,1.1458333333333333,2.2333333333333334,0,1,1,0
30,M,01:05:39,02:15:57,3939,8157,1.0941666666666667,2.265833333333333,1.1716666666666666,4.65,0,1,1,0
30,M,01:05:40,02:16:39,3940,8199,1.0944444444444446,2.2775,1.1830555555555555,5.316666666666666,0,1,1,0
26,M,01:08:10,02:18:18,4090,8298,1.136111111111111,2.305,1.1688888888888889,1.9666666666666666,0,1,1,0
29,M,01:05:54,02:18:52,3954,8332,1.0983333333333334,2.3144444444444443,1.2161111111111111,7.066666666666666,0,1,1,0
28,M,01:08:59,02:19:36,4139,8376,1.1497222222222223,2.3266666666666667,1.1769444444444443,1.6333333333333333,0,1,1,0
24,M,01:09:16,02:19:45,4156,8385,1.1544444444444444,2.3291666666666666,1.1747222222222222,1.2166666666666666,0,1,1,0
37,M,01:05:21,02:19:47,3921,8387,1.0891666666666666,2.3297222222222222,1.2405555555555556,9.083333333333334,0,1,1,0
25,M,01:09:52,02:20:17,4192,8417,1.1644444444444444,2.3380555555555556,1.1736111111111112,0.55,0,1,1,0
22,M,01:09:53,02:20:57,4193,8457,1.1647222222222222,2.3491666666666666,1.1844444444444444,1.1833333333333333,0,1,1,0
